Item(s),transaction_id,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
4,0,citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,whole milk,butter,yogurt,rice,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,
1,12,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23,tropical fruit,cream cheese,processed cheese,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,24,tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,
2,25,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29,brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,31,hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
5,32,root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,33,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,
3,34,beef,grapes,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,38,root vegetables,other vegetables,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,citrus fruit,zwieback,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
13,41,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy,,,,,,,,,,,,,,,,,,,
